Protein,Evidence_Category,Raw_Count,Harmonized_Count,IC_Raw,IC_Harmonized,Improvement_Pct
O15060,Experimental,1,3,1.0314,2.0969,103.31
O15060,Electronic (IEA),5,31,12.4924,51.8387,314.96
O15060,Computational,6,49,21.7643,114.2946,425.15
Q9NYQ8,Experimental,3,14,18.49,48.819,164.03
Q9NYQ8,High-throughput,1,9,2.9721,16.5244,455.98
Q9NYQ8,Electronic (IEA),9,24,32.9825,50.24,52.32
Q9NYQ8,Computational,4,14,19.8563,41.9043,111.04
URS0000EA941F_9606,Electronic (IEA),2,13,6.1315,22.7048,270.3
URS00006509A9_9606,Electronic (IEA),1,21,2.3593,33.3957,1315.46
O96007,Experimental,5,29,31.2499,121.5371,288.92
O96007,Electronic (IEA),7,32,43.28,125.4369,189.83
O96007,Computational,1,3,2.1093,2.6379,25.06
O96007,Author/Curator,3,20,20.2515,75.6861,273.73
URS0000EF3D77_9606,Electronic (IEA),2,12,4.3508,11.2581,158.76
URS0002A2FC8C_9606,Electronic (IEA),2,12,4.3508,11.2581,158.76
URS00006A0D74_9606,Electronic (IEA),1,21,2.3593,33.3957,1315.46
URS0002538CB4_9606,Electronic (IEA),2,12,4.3508,11.2581,158.76
URS0002676007_9606,Electronic (IEA),2,10,4.0684,10.5183,158.53
URS0001C6CC66_9606,Electronic (IEA),2,10,4.0684,10.5183,158.53
CPX-10312,Author/Curator,1,6,4.6415,16.6544,258.81
URS0000EF3370_9606,Electronic (IEA),2,13,6.1315,22.7048,270.3
URS00026A26A6_9606,Electronic (IEA),1,26,4.2272,50.7496,1100.55
URS00006F167C_9606,Electronic (IEA),2,12,4.3508,11.2581,158.76
Q9BT73,Experimental,4,13,14.51,25.5708,76.23
Q9BT73,Electronic (IEA),3,13,12.6932,23.9371,88.58
Q9BT73,Computational,1,2,1.3519,1.5349,13.54
Q9BT73,Author/Curator,2,12,10.9777,29.3891,167.72
Q9NUX5,Experimental,25,130,197.7208,616.1337,211.62
Q9NUX5,High-throughput,1,4,5.5362,11.168,101.73
Q9NUX5,Electronic (IEA),7,38,34.5858,117.6311,240.11
Q9NUX5,Computational,5,53,39.8648,191.6618,380.78
Q9NUX5,Author/Curator,5,65,33.1803,231.3501,597.25
P62273,Experimental,7,36,25.6589,74.8871,191.86
P62273,High-throughput,5,21,23.0011,59.1249,157.05
P62273,Electronic (IEA),11,38,38.152,83.7161,119.43
P62273,Computational,5,31,26.7318,86.3874,223.16
P62273,Author/Curator,5,15,15.4285,26.3549,70.82
P0DSN6,Electronic (IEA),8,31,33.8778,98.4481,190.6
P0DSN6,Computational,1,3,1.4567,1.9853,36.28
URS000068C891_9606,Electronic (IEA),2,12,4.3508,11.2581,158.76
URS000015DE7D_9606,Electronic (IEA),2,16,6.0993,26.6055,336.2
Q9HAS3,Experimental,5,24,35.2364,116.5347,230.72
Q9HAS3,Electronic (IEA),11,51,70.2046,251.7693,258.62
Q9HAS3,Computational,6,43,46.4192,223.8722,382.28
Q9HAS3,Author/Curator,6,37,41.7371,170.9918,309.69
URS0002FDE6CC_9606,Electronic (IEA),2,10,4.0684,10.5183,158.53
Q8NGT2,Electronic (IEA),7,23,22.0764,53.4553,142.14
Q8NGT2,Computational,3,16,11.1608,42.6639,282.27
Q96BM1,Experimental,7,55,35.1141,184.0958,424.28
Q96BM1,Electronic (IEA),3,22,9.4945,44.4648,368.32
Q96BM1,Author/Curator,1,3,2.1093,2.6379,25.06
Q96R08,Electronic (IEA),8,29,26.6543,77.3915,190.35
Q96R08,Computational,4,20,18.4979,52.1714,182.04
Q5HYK7,Experimental,6,31,23.3258,84.7546,263.35
Q5HYK7,Electronic (IEA),2,8,3.6114,7.9738,120.8
Q5HYK7,Computational,3,13,9.1275,20.4752,124.32
Q5HYK7,Author/Curator,1,3,2.1093,2.6379,25.06
URS0000201643_9606,Electronic (IEA),2,26,5.4831,43.1538,687.03
Q96JE9,Experimental,5,26,23.5135,82.6516,251.51
Q96JE9,Electronic (IEA),10,44,43.9458,119.1416,171.11
Q96JE9,Computational,10,76,56.4053,257.1563,355.91
