Protein,Raw_Count,Harmonized_Count,IC_Raw,IC_Harmonized,Improvement_Pct,BP_Raw,BP_Harmonized,MF_Raw,MF_Harmonized,CC_Raw,CC_Harmonized,IC_BP_Raw,IC_BP_Harmonized,IC_MF_Raw,IC_MF_Harmonized,IC_CC_Raw,IC_CC_Harmonized
A0A024RBG1,15,63,87.7454,260.4271,196.8,4,37,9,18,2,8,36.2028,186.3481,47.9313,66.1052,3.6114,7.9738
A0A075B6H5,3,12,7.9253,15.2332,92.21,2,8,0,0,1,4,5.9249,11.2475,0.0,0.0,2.0004,3.9857
A0A075B6H7,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6H8,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6H9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I0,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I1,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I3,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I4,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I6,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I7,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6I9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6J1,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6J2,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6J6,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6J9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6K0,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6K2,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6K4,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6K5,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6K6,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6L2,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A075B6L6,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A075B6N1,6,22,25.8706,56.491,118.36,3,11,0,0,3,11,10.0718,20.6176,0.0,0.0,15.7988,35.8733
A0A075B6N2,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A075B6N3,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A075B6N4,5,21,17.6953,48.3157,173.04,3,11,0,0,2,10,10.0718,20.6176,0.0,0.0,7.6236,27.6981
A0A075B6P5,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6Q5,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B6R0,5,25,18.814,75.5291,301.45,3,15,0,0,2,10,11.1904,47.831,0.0,0.0,7.6236,27.6981
A0A075B6R2,7,21,28.2589,64.8729,129.57,3,11,1,3,3,7,13.0447,45.256,5.0842,6.1497,10.13,13.4672
A0A075B6R9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6S0,4,15,14.7177,40.226,173.32,2,5,0,0,2,10,7.0941,12.5279,0.0,0.0,7.6236,27.6981
A0A075B6S2,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6S4,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6S5,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6S6,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6S9,6,12,20.4733,25.9951,26.97,3,5,0,0,3,7,10.3433,12.5279,0.0,0.0,10.13,13.4672
A0A075B6T6,5,20,21.5066,58.3483,171.3,2,5,1,5,2,10,7.0941,12.5279,6.7889,18.1223,7.6236,27.6981
A0A075B6T7,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
A0A075B6T8,5,16,20.0072,45.5155,127.5,2,5,0,0,3,11,7.0941,12.5279,0.0,0.0,12.9131,32.9876
A0A075B6U4,5,21,19.5001,62.2966,219.47,3,11,0,0,2,10,11.8765,34.5985,0.0,0.0,7.6236,27.6981
